"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","SEXLEVEL","SEX","DIS","CDF","Range0","Range1"
"47",140,24,1,"1503",100,16,24001001503,"1400000US24001001503",1,"Male",969,0.492378048780488,0.492378048780488,0,0.492378556402439
"48",140,24,1,"1503",100,16,24001001503,"1400000US24001001503",2,"Female",999,0.507621951219512,1,0.492378556402439,1
"49",140,24,1,"1600",100,17,24001001600,"1400000US24001001600",0,"Total",1766,0,0,0,0
"50",140,24,1,"1600",100,17,24001001600,"1400000US24001001600",1,"Male",843,0.477349943374858,0.477349943374858,0,0.477350466024915
"51",140,24,1,"1600",100,17,24001001600,"1400000US24001001600",2,"Female",923,0.522650056625142,1,0.477350466024915,1
"52",140,24,1,"1700",100,18,24001001700,"1400000US24001001700",0,"Total",4818,0,0,0,0
"53",140,24,1,"1700",100,18,24001001700,"1400000US24001001700",1,"Male",2303,0.477999169779992,0.477999169779992,0,0.477999691780822
"54",140,24,1,"1700",100,18,24001001700,"1400000US24001001700",2,"Female",2515,0.522000830220008,1,0.477999691780822,1
"55",140,24,1,"1800",100,19,24001001800,"1400000US24001001800",0,"Total",5411,0,0,0,0
"56",140,24,1,"1800",100,19,24001001800,"1400000US24001001800",1,"Male",2702,0.499353169469599,0.499353169469599,0,0.49935367011643
"57",140,24,1,"1800",100,19,24001001800,"1400000US24001001800",2,"Female",2709,0.500646830530401,1,0.49935367011643,1
"58",140,24,1,"1900",100,20,24001001900,"1400000US24001001900",0,"Total",2623,0,0,0,0
"59",140,24,1,"1900",100,20,24001001900,"1400000US24001001900",1,"Male",1308,0.498665650019062,0.498665650019062,0,0.498666151353412
"60",140,24,1,"1900",100,20,24001001900,"1400000US24001001900",2,"Female",1315,0.501334349980938,1,0.498666151353412,1
"61",140,24,1,"2000",100,21,24001002000,"1400000US24001002000",0,"Total",5552,0,0,0,0
"62",140,24,1,"2000",100,21,24001002000,"1400000US24001002000",1,"Male",2680,0.482708933717579,0.482708933717579,0,0.482709451008645
"63",140,24,1,"2000",100,21,24001002000,"1400000US24001002000",2,"Female",2872,0.517291066282421,1,0.482709451008645,1
"64",140,24,1,"2100",100,22,24001002100,"1400000US24001002100",0,"Total",3466,0,0,0,0
"65",140,24,1,"2100",100,22,24001002100,"1400000US24001002100",1,"Male",1663,0.479803808424697,0.479803808424697,0,0.479804328620889
"66",140,24,1,"2100",100,22,24001002100,"1400000US24001002100",2,"Female",1803,0.520196191575303,1,0.479804328620889,1
"67",140,24,1,"2200",100,23,24001002200,"1400000US24001002200",0,"Total",3874,0,0,0,0
"68",140,24,1,"2200",100,23,24001002200,"1400000US24001002200",1,"Male",1877,0.484512132163139,0.484512132163139,0,0.484512647651007
"69",140,24,1,"2200",100,23,24001002200,"1400000US24001002200",2,"Female",1997,0.515487867836861,1,0.484512647651007,1
"70",140,24,3,"701101",1204,24,24003701101,"1400000US24003701101",0,"Total",4151,0,0,0,0
"71",140,24,3,"701101",1204,24,24003701101,"1400000US24003701101",1,"Male",2051,0.494097807757167,0.494097807757167,0,0.494098313659359
