"","PUMA","ESRLEVEL","ESR","CLASS","CenTrN","DIS","CDF","Range0","Range1"
"278","1106","ESR4",1647,5,35,0.0127971033636102,0.741128662558954,0.728331571992448,0.741128662558954
"279","1106","ESR5",0,6,35,0,0.741128662558954,0.741128662558954,0.741128921430292
"280","1106","ESR6",33317,7,35,0.258871337441046,1,0.741128921430292,1
"281","1107","Total",118583,0,36,0,0,0,0
"282","1107","ESR0",23549,1,36,0.198586643954024,0.198586643954024,0,0.198587158302624
"283","1107","ESR1",60993,2,36,0.514348599714968,0.712935243668991,0.198587158302624,0.712935255272678
"284","1107","ESR2",1376,3,36,0.0116036868691128,0.724538930538104,0.712935255272678,0.724538976404712
"285","1107","ESR3",5439,4,36,0.045866608198477,0.770405538736581,0.724538976404712,0.770405540777346
"286","1107","ESR4",242,5,36,0.00204076469645733,0.772446303433038,0.770405540777346,0.772446303433038
"287","1107","ESR5",0,6,36,0,0.772446303433038,0.772446303433038,0.772446530986735
"288","1107","ESR6",26984,7,36,0.227553696566962,1,0.772446530986735,1
"289","1201","Total",170756,0,37,0,0,0,0
"290","1201","ESR0",36713,1,37,0.21500269390241,0.21500269390241,0,0.215003168960388
"291","1201","ESR1",81119,2,37,0.475057977464921,0.690060671367331,0.215003168960388,0.690060673411183
"292","1201","ESR2",349,3,37,0.00204385204619457,0.692104523413526,0.690060673411183,0.692104542844761
"293","1201","ESR3",3318,4,37,0.0194312352128183,0.711535758626344,0.692104542844761,0.711535789694066
"294","1201","ESR4",5305,5,37,0.0310677223640751,0.742603480990419,0.711535789694066,0.742603480990419
"295","1201","ESR5",0,6,37,0,0.742603480990419,0.742603480990419,0.742603738386938
"296","1201","ESR6",43952,7,37,0.257396519009581,1,0.742603738386938,1
"297","1202","Total",120423,0,38,0,0,0,0
"298","1202","ESR0",24236,1,38,0.201257234913596,0.201257234913596,0,0.201257746086711
"299","1202","ESR1",61557,2,38,0.511173114770434,0.712430349684031,0.201257746086711,0.712430353022263
"300","1202","ESR2",402,3,38,0.00333823272962806,0.715768582413659,0.712430353022263,0.715768611569219
"301","1202","ESR3",3511,4,38,0.0291555599843884,0.744924142398047,0.715768611569219,0.744924145404117
"302","1202","ESR4",362,5,38,0.00300607026896855,0.747930212667016,0.744924145404117,0.747930212667016
"303","1202","ESR5",0,6,38,0,0.747930212667016,0.747930212667016,0.747930464736803
"304","1202","ESR6",30355,7,38,0.252069787332985,1,0.747930464736803,1
"305","1203","Total",135177,0,39,0,0,0,0
"306","1203","ESR0",29654,1,39,0.219371638666341,0.219371638666341,0,0.219372175702967
"307","1203","ESR1",72595,2,39,0.537036626053249,0.75640826471959,0.219372175702967,0.756408276333992
"308","1203","ESR2",1570,3,39,0.0116144018583043,0.768022666577894,0.756408276333992,0.768022696671771
"309","1203","ESR3",4068,4,39,0.0300938769169311,0.798116543494825,0.768022696671771,0.79811655077417
"310","1203","ESR4",984,5,39,0.00727934485896269,0.805395888353788,0.79811655077417,0.805395888353788
"311","1203","ESR5",0,6,39,0,0.805395888353788,0.805395888353788,0.8053960829579
"312","1203","ESR6",26306,7,39,0.194604111646212,1,0.8053960829579,1
"313","1204","Total",142163,0,40,0,0,0,0
"314","1204","ESR0",23251,1,40,0.16355169769912,0.16355169769912,0,0.163552211130885
"315","1204","ESR1",72991,2,40,0.513431764945872,0.676983462644992,0.163552211130885,0.676983472570219
"316","1204","ESR2",1411,3,40,0.00992522667642073,0.686908689321413,0.676983472570219,0.686908717816872
"317","1204","ESR3",4051,4,40,0.0284954594374064,0.715404148758819,0.686908717816872,0.715404174391367
"318","1204","ESR4",3644,5,40,0.0256325485534211,0.74103669731224,0.715404174391367,0.74103669731224
