PUMA,GEOID10,POP
503,24005490400,1864
503,24005490500,3520
504,24005490601,2120
504,24005490602,2570
504,24005490603,2253
504,24005490605,5182
504,24005490701,1927
504,24005490703,2497
504,24005490800,3345
504,24005490900,4165
504,24005491000,2241
504,24005491100,3567
504,24005491201,1792
504,24005491202,1770
504,24005491300,3331
504,24005491401,5200
504,24005491402,3110
504,24005491500,3790
504,24005491600,3061
504,24005491701,4180
504,24005491900,1831
504,24005492001,1443
504,24005492002,3945
504,24005492101,3493
504,24005492102,2241
504,24005492200,4803
506,24005492300,3955
502,24005492401,3623
502,24005492402,6380
507,24005492500,3807
504,24005492600,3506
506,24005980000,0
507,24005980100,0
507,24005980200,0
1500,24009860101,3209
1500,24009860102,2903
1500,24009860200,6083
1500,24009860300,3932
1500,24009860401,9732
1500,24009860402,3558
1500,24009860501,5938
1500,24009860502,2936
1500,24009860600,7052
1500,24009860701,2695
1500,24009860702,2974
1500,24009860703,3489
1500,24009860801,6527
1500,24009860802,4863
1500,24009860900,7693
1500,24009861001,1304
1500,24009861003,6615
1500,24009861004,7234
0,24009990100,0
1300,24011955000,3348
1300,24011955100,5619
1300,24011955201,3773
1300,24011955202,2110
1300,24011955301,4111
1300,24011955302,3128
1300,24011955400,2097
1300,24011955500,4044
1300,24011955600,4836
400,24013501001,4112
400,24013501002,5337
400,24013502000,4148
400,24013503000,5505
400,24013504100,5120
400,24013504201,6198
400,24013504202,6169
400,24013505101,4347
400,24013505102,5156
400,24013505203,3723
400,24013505205,3050
400,24013505206,3481
400,24013505207,3683
400,24013505208,5277
400,24013506101,4679
400,24013506102,3880
400,24013506200,5444
400,24013507500,4297
400,24013507601,5027
400,24013507602,4348
400,24013507702,3925
400,24013507703,2875
400,24013507704,6165
400,24013507801,5652
400,24013507802,4411
400,24013508101,4760
400,24013508102,2955
400,24013508200,7133
400,24013509001,4470
400,24013509002,2908
400,24013510000,1422
400,24013511000,3671
400,24013512000,1551
400,24013513001,4701
400,24013513002,5277
400,24013514100,3651
400,24013514201,5139
400,24013514202,3487
700,24015030100,5149
700,24015030200,5240
700,24015030400,4901
700,24015030501,4209
700,24015030503,5751
700,24015030505,3918
700,24015030506,8223
700,24015030601,3818
700,24015030602,4792
700,24015030700,5005
700,24015030903,5076
700,24015030904,6814
