"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","HHTLEVEL","HHT","DIS","CDF","Range0","Range1"
"40",140,24,1,500,100,5,"24001000500","1400000US24001000500",7,"NonfFNalone",70,0.0670498084291188,1,0.93295025862069,1
"41",140,24,1,600,100,6,"24001000600","1400000US24001000600",0,"Total",1294,0,0,0,0
"42",140,24,1,600,100,6,"24001000600","1400000US24001000600",1,"MarriedFamilyHH",511,0.394899536321484,0.394899536321484,0,0.394899588098918
"43",140,24,1,600,100,6,"24001000600","1400000US24001000600",2,"OthMale",67,0.0517774343122102,0.446676970633694,0.394899588098918,0.446677142194745
"44",140,24,1,600,100,6,"24001000600","1400000US24001000600",3,"OthFemale",222,0.171561051004637,0.618238021638331,0.446677142194745,0.618238142194745
"45",140,24,1,600,100,6,"24001000600","1400000US24001000600",4,"NonfMalone",156,0.120556414219474,0.738794435857805,0.618238142194745,0.738794465224111
"46",140,24,1,600,100,6,"24001000600","1400000US24001000600",5,"NonfMNalone",38,0.0293663060278207,0.768160741885626,0.738794465224111,0.768160952859351
"47",140,24,1,600,100,6,"24001000600","1400000US24001000600",6,"NonfFalone",273,0.21097372488408,0.979134466769706,0.768160952859351,0.97913448763524
"48",140,24,1,600,100,6,"24001000600","1400000US24001000600",7,"NonfFNalone",27,0.0208655332302937,1,0.97913448763524,1
"49",140,24,1,700,100,7,"24001000700","1400000US24001000700",0,"Total",1539,0,0,0,0
"50",140,24,1,700,100,7,"24001000700","1400000US24001000700",1,"MarriedFamilyHH",500,0.32488628979857,0.32488628979857,0,0.324886331384016
"51",140,24,1,700,100,7,"24001000700","1400000US24001000700",2,"OthMale",64,0.041585445094217,0.366471734892788,0.324886331384016,0.366471925925926
"52",140,24,1,700,100,7,"24001000700","1400000US24001000700",3,"OthFemale",294,0.191033138401559,0.557504873294347,0.366471925925926,0.557505005847953
"53",140,24,1,700,100,7,"24001000700","1400000US24001000700",4,"NonfMalone",204,0.132553606237817,0.690058479532164,0.557505005847953,0.690058513970111
"54",140,24,1,700,100,7,"24001000700","1400000US24001000700",5,"NonfMNalone",53,0.0344379467186485,0.724496426250812,0.690058513970111,0.724496677712801
"55",140,24,1,700,100,7,"24001000700","1400000US24001000700",6,"NonfFalone",387,0.251461988304094,0.975958414554906,0.724496677712801,0.975958438596491
"56",140,24,1,700,100,7,"24001000700","1400000US24001000700",7,"NonfFNalone",37,0.0240415854450942,1,0.975958438596491,1
"57",140,24,1,800,100,8,"24001000800","1400000US24001000800",0,"Total",904,0,0,0,0
"58",140,24,1,800,100,8,"24001000800","1400000US24001000800",1,"MarriedFamilyHH",313,0.346238938053097,0.346238938053097,0,0.346238997787611
"59",140,24,1,800,100,8,"24001000800","1400000US24001000800",2,"OthMale",54,0.0597345132743363,0.405973451327434,0.346238997787611,0.405973657079646
"60",140,24,1,800,100,8,"24001000800","1400000US24001000800",3,"OthFemale",186,0.205752212389381,0.611725663716814,0.405973657079646,0.611725792035398
"61",140,24,1,800,100,8,"24001000800","1400000US24001000800",4,"NonfMalone",116,0.128318584070796,0.740044247787611,0.611725792035398,0.740044289823009
"62",140,24,1,800,100,8,"24001000800","1400000US24001000800",5,"NonfMNalone",38,0.0420353982300885,0.782079646017699,0.740044289823009,0.782079834070796
"63",140,24,1,800,100,8,"24001000800","1400000US24001000800",6,"NonfFalone",170,0.188053097345133,0.970132743362832,0.782079834070796,0.970132773230089
"64",140,24,1,800,100,8,"24001000800","1400000US24001000800",7,"NonfFNalone",27,0.0298672566371681,1,0.970132773230089,1
"65",140,24,1,1000,100,9,"24001001000","1400000US24001001000",0,"Total",1208,0,0,0,0
"66",140,24,1,1000,100,9,"24001001000","1400000US24001001000",1,"MarriedFamilyHH",294,0.243377483443709,0.243377483443709,0,0.243377543046358
"67",140,24,1,1000,100,9,"24001001000","1400000US24001001000",2,"OthMale",72,0.0596026490066225,0.302980132450331,0.243377543046358,0.302980277317881
"68",140,24,1,1000,100,9,"24001001000","1400000US24001001000",3,"OthFemale",175,0.144867549668874,0.447847682119205,0.302980277317881,0.447847892384106
"69",140,24,1,1000,100,9,"24001001000","1400000US24001001000",4,"NonfMalone",254,0.210264900662252,0.658112582781457,0.447847892384106,0.658112621688742
