"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","RAC1PLEVEL","RAC1P","DIS","CDF","Range0","Range1"
"38",140,24,1,400,100,4,"24001000400","1400000US24001000400",7,"NativeHawaiianOth",4,0.00132362673726009,0.977167438782263,0.97584381336863,0.97716744010589
"39",140,24,1,400,100,4,"24001000400","1400000US24001000400",8,"SomeOtherRace",1,0.000330906684315023,0.977498345466578,0.97716743911317,0.977498345797485
"40",140,24,1,400,100,4,"24001000400","1400000US24001000400",9,"TwoMoreRace",68,0.0225016545334216,1,0.977498367968233,1
"41",140,24,1,500,100,5,"24001000500","1400000US24001000500",0,"Total",2734,0,0,0,0
"42",140,24,1,500,100,5,"24001000500","1400000US24001000500",1,"WhiteAlone",2287,0.836503291880029,0.836503291880029,0,0.836504128383321
"43",140,24,1,500,100,5,"24001000500","1400000US24001000500",2,"BlackorAfricanAmerican",334,0.122165325530358,0.958668617410388,0.836503414045355,0.958668739575713
"44",140,24,1,500,100,5,"24001000500","1400000US24001000500",3,"AmericanIndianAlone",4,0.00146305779078274,0.96013167520117,0.958668618873446,0.960131676664228
"45",140,24,1,500,100,5,"24001000500","1400000US24001000500",4,"AlaskaNativeAlnoe",1,0.000365764447695684,0.960497439648866,0.960131675566935,0.960497440014631
"46",140,24,1,500,100,5,"24001000500","1400000US24001000500",5,"AmericanIndianAlaskaNative",1,0.000365764447695684,0.960863204096562,0.960497440014631,0.960863204462326
"47",140,24,1,500,100,5,"24001000500","1400000US24001000500",6,"AsianAlone",27,0.00987564008778347,0.970738844184345,0.960863213972202,0.970738854059985
"48",140,24,1,500,100,5,"24001000500","1400000US24001000500",7,"NativeHawaiianOth",1,0.000365764447695684,0.971104608632041,0.97073884455011,0.971104608997805
"49",140,24,1,500,100,5,"24001000500","1400000US24001000500",8,"SomeOtherRace",3,0.00109729334308705,0.972201901975128,0.971104609729334,0.972201903072421
"50",140,24,1,500,100,5,"24001000500","1400000US24001000500",9,"TwoMoreRace",76,0.027798098024872,1,0.972201929773226,1
"51",140,24,1,600,100,6,"24001000600","1400000US24001000600",0,"Total",2965,0,0,0,0
