SUMLEV,STATE,COUNTY,TRACT,PUMA,CenTrN,GEOID10,AFFGEOID10,CLASS,NPLEVEL,NP,DIS,CDF,Range0,Range1
140,24,1,700,100,7,24001000700,1400000US24001000700,3,three,230,0.149447693,0.837556855,0.688109311,0.837556947
140,24,1,700,100,7,24001000700,1400000US24001000700,4,four,141,0.091617934,0.929174789,0.837556947,0.929174838
140,24,1,700,100,7,24001000700,1400000US24001000700,5,five,76,0.049382716,0.978557505,0.929174838,0.978557515
140,24,1,700,100,7,24001000700,1400000US24001000700,6,six,15,0.009746589,0.988304094,0.978557515,0.988304105
140,24,1,700,100,7,24001000700,1400000US24001000700,7,sevenPlus,18,0.011695906,1,0.988304105,1
140,24,1,800,100,8,24001000800,1400000US24001000800,0,Total,904,0,0,0,0
140,24,1,800,100,8,24001000800,1400000US24001000800,1,one,286,0.316371681,0.316371681,0,0.31637197
140,24,1,800,100,8,24001000800,1400000US24001000800,2,two,261,0.288716814,0.605088496,0.31637197,0.605088692
140,24,1,800,100,8,24001000800,1400000US24001000800,3,three,178,0.196902655,0.80199115,0.605088692,0.801991256
140,24,1,800,100,8,24001000800,1400000US24001000800,4,four,95,0.105088496,0.907079646,0.801991256,0.907079704
140,24,1,800,100,8,24001000800,1400000US24001000800,5,five,52,0.057522124,0.96460177,0.907079704,0.964601784
140,24,1,800,100,8,24001000800,1400000US24001000800,6,six,13,0.014380531,0.978982301,0.964601784,0.978982322
140,24,1,800,100,8,24001000800,1400000US24001000800,7,sevenPlus,19,0.021017699,1,0.978982322,1
140,24,1,1000,100,9,24001001000,1400000US24001001000,0,Total,1208,0,0,0,0
140,24,1,1000,100,9,24001001000,1400000US24001001000,1,one,576,0.476821192,0.476821192,0,0.476821454
140,24,1,1000,100,9,24001001000,1400000US24001001000,2,two,316,0.261589404,0.738410596,0.476821454,0.738410717
140,24,1,1000,100,9,24001001000,1400000US24001001000,3,three,146,0.120860927,0.859271523,0.738410717,0.8592716
140,24,1,1000,100,9,24001001000,1400000US24001001000,4,four,93,0.076986755,0.936258278,0.8592716,0.936258308
140,24,1,1000,100,9,24001001000,1400000US24001001000,5,five,36,0.029801325,0.966059603,0.936258308,0.966059628
140,24,1,1000,100,9,24001001000,1400000US24001001000,6,six,31,0.025662252,0.991721854,0.966059628,0.991721863
140,24,1,1000,100,9,24001001000,1400000US24001001000,7,sevenPlus,10,0.008278146,1,0.991721863,1
140,24,1,1100,100,10,24001001100,1400000US24001001100,0,Total,820,0,0,0,0
140,24,1,1100,100,10,24001001100,1400000US24001001100,1,one,461,0.562195122,0.562195122,0,0.562195373
140,24,1,1100,100,10,24001001100,1400000US24001001100,2,two,206,0.251219512,0.813414634,0.562195373,0.813414718
140,24,1,1100,100,10,24001001100,1400000US24001001100,3,three,69,0.084146341,0.897560976,0.813414718,0.89756103
140,24,1,1100,100,10,24001001100,1400000US24001001100,4,four,45,0.054878049,0.952439024,0.89756103,0.952439054
140,24,1,1100,100,10,24001001100,1400000US24001001100,5,five,24,0.029268293,0.981707317,0.952439054,0.981707323
140,24,1,1100,100,10,24001001100,1400000US24001001100,6,six,5,0.006097561,0.987804878,0.981707323,0.98780489
140,24,1,1100,100,10,24001001100,1400000US24001001100,7,sevenPlus,10,0.012195122,1,0.98780489,1
140,24,1,1200,100,11,24001001200,1400000US24001001200,0,Total,1331,0,0,0,0
140,24,1,1200,100,11,24001001200,1400000US24001001200,1,one,400,0.30052592,0.30052592,0,0.300526292
140,24,1,1200,100,11,24001001200,1400000US24001001200,2,two,495,0.371900826,0.672426747,0.300526292,0.672426896
140,24,1,1200,100,11,24001001200,1400000US24001001200,3,three,198,0.148760331,0.821187077,0.672426896,0.821187196
140,24,1,1200,100,11,24001001200,1400000US24001001200,4,four,158,0.118707739,0.939894816,0.821187196,0.939894853
140,24,1,1200,100,11,24001001200,1400000US24001001200,5,five,50,0.03756574,0.977460556,0.939894853,0.977460571
