"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","HUPACLEVEL","HUPAC","DIS","CDF","Range0","Range1"
"43",140,24,1,1000,100,9,"24001001000","1400000US24001001000",2,"X6to17",146,0.120860927152318,0.177980132450331,0.0571193261589403,0.177980183774834
"44",140,24,1,1000,100,9,"24001001000","1400000US24001001000",3,"Und6and6to17",62,0.0513245033112583,0.229304635761589,0.177980183774834,0.229305406456954
"45",140,24,1,1000,100,9,"24001001000","1400000US24001001000",4,"NoChild",931,0.770695364238411,1,0.229305406456954,1
"46",140,24,1,1100,100,10,"24001001100","1400000US24001001100",0,"Total",820,0,0,0,0
"47",140,24,1,1100,100,10,"24001001100","1400000US24001001100",1,"Under6",30,0.0365853658536585,0.0365853658536586,0,0.0365854585365854
"48",140,24,1,1100,100,10,"24001001100","1400000US24001001100",2,"X6to17",76,0.0926829268292683,0.129268292682927,0.0365854585365854,0.129268330487805
"49",140,24,1,1100,100,10,"24001001100","1400000US24001001100",3,"Und6and6to17",31,0.0378048780487805,0.167073170731707,0.129268330487805,0.167074003658537
"50",140,24,1,1100,100,10,"24001001100","1400000US24001001100",4,"NoChild",683,0.832926829268293,1,0.167074003658537,1
"51",140,24,1,1200,100,11,"24001001200","1400000US24001001200",0,"Total",1331,0,0,0,0
"52",140,24,1,1200,100,11,"24001001200","1400000US24001001200",1,"Under6",88,0.0661157024793388,0.0661157024793388,0,0.0661158647633358
"53",140,24,1,1200,100,11,"24001001200","1400000US24001001200",2,"X6to17",216,0.162283996994741,0.22839969947408,0.0661158647633358,0.228399740796394
"54",140,24,1,1200,100,11,"24001001200","1400000US24001001200",3,"Und6and6to17",55,0.0413223140495868,0.269722013523666,0.228399740796394,0.269722743801653
"55",140,24,1,1200,100,11,"24001001200","1400000US24001001200",4,"NoChild",972,0.730277986476334,1,0.269722743801653,1
"56",140,24,1,1300,100,12,"24001001300","1400000US24001001300",0,"Total",897,0,0,0,0
"57",140,24,1,1300,100,12,"24001001300","1400000US24001001300",1,"Under6",62,0.0691192865105909,0.069119286510591,0,0.0691194370122632
"58",140,24,1,1300,100,12,"24001001300","1400000US24001001300",2,"X6to17",135,0.150501672240803,0.219620958751394,0.0691194370122632,0.219621008918618
"59",140,24,1,1300,100,12,"24001001300","1400000US24001001300",3,"Und6and6to17",45,0.0501672240802676,0.269788182831661,0.219621008918618,0.269788913043478
"60",140,24,1,1300,100,12,"24001001300","1400000US24001001300",4,"NoChild",655,0.730211817168339,1,0.269788913043478,1
"61",140,24,1,1401,100,13,"24001001401","1400000US24001001401",0,"Total",1752,0,0,0,0
"62",140,24,1,1401,100,13,"24001001401","1400000US24001001401",1,"Under6",91,0.0519406392694064,0.0519406392694064,0,0.0519408042237443
"63",140,24,1,1401,100,13,"24001001401","1400000US24001001401",2,"X6to17",289,0.164954337899543,0.21689497716895,0.0519408042237443,0.216895023401826
"64",140,24,1,1401,100,13,"24001001401","1400000US24001001401",3,"Und6and6to17",81,0.0462328767123288,0.263127853881278,0.216895023401826,0.263128590753425
"65",140,24,1,1401,100,13,"24001001401","1400000US24001001401",4,"NoChild",1291,0.736872146118721,1,0.263128590753425,1
"66",140,24,1,1402,100,14,"24001001402","1400000US24001001402",0,"Total",676,0,0,0,0
"67",140,24,1,1402,100,14,"24001001402","1400000US24001001402",1,"Under6",48,0.0710059171597633,0.0710059171597632,0,0.071006072485207
